"region","especie","timepoint","mort_total","mort_prim_depredadores","mort_prim_embrionaria","mort_prim_eliminacion","mort_prim_ambiental","mort_prim_sin_causa_aparente","mort_prim_secundaria","mort_prim_otras","mort_prim_desadaptado","mort_prim_deforme","mort_prim_dano_mecanico","mort_sec_vibrio","mort_sec_ipn","mort_sec_furunculosis_atipica","mort_sec_bkd","mort_sec_srs","mort_sec_isa","mort_sec_sit","mort_sec_yersiniosis","mort_sec_micosis","mort_sec_francisellosis","mort_sec_flavobacteriosis","mort_sec_amebiasis","mort_sec_sindrome_icterico","mort_sec_hsmi","mort_sec_tenacibaculosis","mort_sec_estreptococosis","mort_sec_ich","mort_sec_exofialosis","mort_sec_shs","mort_sec_nefrocalcinosis","mort_sec_real","mort_total_real","n_observaciones","pct_prim_depredadores","pct_prim_embrionaria","pct_prim_eliminacion","pct_prim_ambiental","pct_prim_sin_causa_aparente","pct_prim_secundaria","pct_prim_otras","pct_prim_desadaptado","pct_prim_deforme","pct_prim_dano_mecanico","pct_sec_vibrio","pct_sec_ipn","pct_sec_furunculosis_atipica","pct_sec_bkd","pct_sec_srs","pct_sec_isa","pct_sec_sit","pct_sec_yersiniosis","pct_sec_micosis","pct_sec_francisellosis","pct_sec_flavobacteriosis","pct_sec_amebiasis","pct_sec_sindrome_icterico","pct_sec_hsmi","pct_sec_tenacibaculosis","pct_sec_estreptococosis","pct_sec_ich","pct_sec_exofialosis","pct_sec_shs","pct_sec_nefrocalcinosis"
"X Región","Salmón Atlántico","Semana 23 - Junio 2024",223438,5512,0,30783,26799,4863,55287,25406,19887,6873,44480,0,0,699,123,28176,0,0,0,407,0,0,2704,0,1535,21604,0,0,2,0,37,55287,219890,896,2.50670789940425,0,13.9992723634545,12.1874573650462,2.21156032561735,25.1430260584838,11.5539587975806,9.0440674882896,3.12565373595889,20.2282959661649,0,0,1.26431168267405,0.22247544630745,50.9631558955993,0,0,0,0.736158590627091,0,0,4.89084233183208,0,2.77642122017834,39.076093837611,0,0,0.00361748693182846,0,0.0669235082388265
"X Región","Salmón Atlántico","Semana 23 - Junio 2025",160203,3822,0,22706,11330,2594,53944,18773,10620,3279,32486,0,0,20,2470,35736,0,0,0,676,0,0,0,0,0,15014,0,0,19,0,9,53944,159554,801,2.39542725346905,0,14.2309186858368,7.10104416059767,1.62578186695413,33.8092432656029,11.7659225089938,6.65605374982765,2.05510360128859,20.3605049074295,0,0,0.0370754856888625,4.57882248257452,66.2464778288596,0,0,0,1.25315141628355,0,0,0,0,0,27.8325671066291,0,0,0.0352217114044194,0,0.0166839685599881
"X Región","Salmón Atlántico","Semana 24 - Junio 2024",184096,4470,0,21383,12158,3689,54381,24472,14935,4714,40831,0,0,201,320,26869,0,0,0,684,0,0,937,0,3204,22137,0,0,6,0,23,54381,181033,890,2.46916308076428,0,11.8116586478708,6.71590262548817,2.03775002347638,30.039274607392,13.5179773853386,8.24987709423144,2.60394513707446,22.5544513983638,0,0,0.369614387377944,0.588440815726081,49.4088008679502,0,0,0,1.2577922436145,0,0,1.72302826354793,0,5.89176366745738,40.7072323054008,0,0,0.011033265294864,0,0.0422941836303121
"X Región","Salmón Atlántico","Semana 24 - Junio 2025",196585,2243,0,23697,51110,1953,43100,23976,12573,2893,34709,0,0,463,3134,26241,0,0,0,1774,0,0,0,0,0,11442,0,0,38,0,8,43100,196254,815,1.1429066413933,0,12.0746583509126,26.0427812936297,0.995138952581858,21.9613358199069,12.2168210584243,6.40649362560763,1.47411008183273,17.6857541757111,0,0,1.07424593967517,7.27146171693736,60.8839907192575,0,0,0,4.11600928074246,0,0,0,0,0,26.5475638051044,0,0,0.0881670533642691,0,0.0185614849187935
"X Región","Salmón Atlántico","Semana 25 - Junio 2024",191431,5816,0,28496,9865,2560,49563,33270,17113,4508,37529,0,0,553,273,24022,0,0,0,464,0,0,66,0,1203,22936,0,0,14,0,32,49563,188720,885,3.08181432810513,0,15.0996184824078,5.22732089868588,1.35650699448919,26.2627172530733,17.6292920729122,9.0679313268334,2.38872403560831,19.8860746078847,0,0,1.11575166959224,0.550814115368319,48.4676068841676,0,0,0,0.93618223271392,0,0,0.133163852067066,0,2.42721384904061,46.2764562274277,0,0,0.0282468777111959,0,0.0645642919113048
"X Región","Salmón Atlántico","Semana 25 - Junio 2025",132712,2932,0,12386,926,1933,37621,25698,11660,2959,36068,0,0,360,3010,18855,0,0,0,1704,0,0,0,0,0,13647,0,0,34,0,11,37621,132183,845,2.21813697676706,0,9.37034263104938,0.700543942867086,1.46236656756164,28.4612998645817,19.4412292049658,8.8211040754106,2.23856320404288,27.2864135327538,0,0,0.956912362776109,8.00085058876691,50.1182850003987,0,0,0,4.52938518380692,0,0,0,0,0,36.2749528189043,0,0,0.0903750564844103,0,0.0292389888626033
"X Región","Salmón Atlántico","Semana 26 - Junio 2024",169151,5345,0,24682,4628,3247,53317,11709,16429,4622,43667,0,0,7964,246,25118,0,0,0,146,0,0,102,0,326,19291,0,0,23,0,101,53317,167646,877,3.18826575045035,0,14.7226894766353,2.76057883874354,1.93681925008649,31.8033236701144,6.98435990122043,9.79981627954142,2.7569998687711,26.047146964437,0,0,14.9370744790592,0.461391301085958,47.1106776450288,0,0,0,0.273833861620121,0,0,0.191308588255153,0,0.611437252658627,36.1817056473545,0,0,0.0431382110771424,0,0.189433013860495
"X Región","Salmón Atlántico","Semana 26 - Junio 2025",119344,3280,0,13617,582,1699,27969,18804,14714,2876,35047,0,0,29,1814,14776,0,0,0,415,0,0,0,1,0,10886,0,0,44,0,4,27969,118588,870,2.76587850372719,0,11.4826120686747,0.4907747832833,1.43269133470503,23.585017033764,15.856579080514,12.4076635072689,2.42520322460957,29.5535804634533,0,0,0.103686224033752,6.48575208266295,52.8299188387143,0,0,0,1.48378561979334,0,0,0,0.00357538703564661,0,38.921663270049,0,0,0.157317029568451,0,0.0143015481425864
"X Región","Salmón Atlántico","Semana 27 - Julio 2024",130996,3621,0,16310,2652,2342,47994,8972,14410,3472,29904,0,0,4030,197,23160,0,0,0,147,0,0,149,5,932,19327,0,0,18,0,29,47994,129677,869,2.79232246273433,0,12.5774038572762,2.04508124031247,1.80602574087926,37.0104181928947,6.91872884166043,11.1122249897823,2.67742159365192,23.0603730808085,0,0,8.3968829437013,0.410467975163562,48.2560320040005,0,0,0,0.306288286035754,0,0,0.310455473600867,0.0104179689127808,1.94190940534233,40.2696170354628,0,0,0.0375046880860108,0,0.0604242196941284
"X Región","Salmón Atlántico","Semana 27 - Julio 2025",126883,11772,0,14007,2191,2333,26006,13029,13444,3199,39029,0,0,25,1939,12276,0,0,0,142,0,0,0,0,0,11500,0,0,74,0,50,26006,125010,1742,9.41684665226782,0,11.2047036237101,1.75265978721702,1.866250699944,20.8031357491401,10.4223662107031,10.7543396528278,2.55899528037757,31.2207023438125,0,0,0.0961316619241713,7.45597169883873,47.2044912712451,0,0,0,0.546027839729293,0,0,0,0,0,44.2205644851188,0,0,0.284549719295547,0,0.192263323848343
